manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/j.cels.2015.06.002	doi:10.1016/j.cels.2015.06.002	doi:10.1016/j.cels.2015.06.002	vWk0iSTe
doi:10.1016/j.jmb.2004.04.038	doi:10.1016/j.jmb.2004.04.038	doi:10.1016/j.jmb.2004.04.038	2F51YH7p
doi:10.1021/bp000097t	doi:10.1021/bp000097t	doi:10.1021/bp000097t	WJgrtb3L
doi:10.1073/pnas.90.6.2428	doi:10.1073/pnas.90.6.2428	doi:10.1073/pnas.90.6.2428	De7G6qVz
doi:10.1074/jbc.M113.457689	doi:10.1074/jbc.M113.457689	doi:10.1074/jbc.m113.457689	cCd4xfrS
doi:10.1074/jbc.M508624200	doi:10.1074/jbc.M508624200	doi:10.1074/jbc.m508624200	1BgE7VeUq
doi:10.1111/j.1600-065X.2012.01160.x	doi:10.1111/j.1600-065X.2012.01160.x	doi:10.1111/j.1600-065x.2012.01160.x	22AxiXSN
doi:10.1126/science.1070919	doi:10.1126/science.1070919	doi:10.1126/science.1070919	KRuDS281
doi:10.15252/msb.20167137	doi:10.15252/msb.20167137	doi:10.15252/msb.20167137	bKxRf27N
pmid:12433361	pmid:12433361	pmid:12433361	1EcAaOZOj
